iter	Passed	Remaining
708	1755	720
709	1757	717
710	1759	715
711	1761	712
712	1763	710
713	1766	707
714	1768	704
715	1770	702
716	1772	699
717	1774	696
718	1776	694
719	1778	691
720	1779	688
721	1781	686
722	1783	683
723	1785	680
724	1787	678
725	1789	675
726	1791	672
727	1793	670
728	1795	667
729	1797	664
730	1799	662
731	1802	659
732	1804	657
733	1807	655
734	1810	652
735	1812	650
736	1815	647
737	1817	645
738	1820	642
739	1822	640
740	1824	637
741	1827	635
742	1830	633
743	1835	631
744	1838	629
745	1840	626
746	1843	624
747	1845	621
748	1848	619
749	1850	616
750	1852	614
751	1855	611
752	1857	609
753	1859	606
754	1861	604
755	1864	601
756	1866	599
757	1868	596
758	1871	594
759	1873	591
760	1875	589
761	1877	586
762	1880	583
763	1882	581
764	1884	578
765	1886	576
766	1889	573
767	1891	571
768	1893	568
769	1895	566
770	1898	563
771	1900	561
772	1902	558
773	1904	556
774	1908	554
775	1911	551
776	1913	549
777	1916	546
778	1918	544
779	1921	541
780	1923	539
781	1926	537
782	1928	534
783	1931	532
784	1934	529
785	1938	527
786	1942	525
787	1944	523
788	1947	520
789	1950	518
790	1953	516
791	1956	513
792	1958	511
793	1961	508
794	1963	506
795	1965	503
796	1970	501
797	1972	499
798	1975	496
799	1978	494
800	1980	492
801	1983	489
802	1987	487
803	1989	485
804	1992	482
805	1995	480
806	1998	477
807	2001	475
808	2004	473
809	2007	470
810	2011	468
811	2014	466
812	2016	463
813	2019	461
814	2022	459
815	2024	456
816	2043	457
817	2052	456
818	2059	455
819	2082	457
820	2089	455
821	2094	453
822	2096	450
823	2098	448
824	2101	445
825	2103	443
826	2105	440
827	2108	437
828	2111	435
829	2114	433
830	2116	430
831	2119	427
832	2121	425
833	2124	422
834	2126	420
835	2129	417
836	2131	415
837	2134	412
838	2137	410
839	2141	407
840	2145	405
841	2149	403
842	2152	400
843	2155	398
844	2158	395
845	2161	393
846	2164	390
847	2167	388
848	2171	386
849	2175	383
850	2178	381
851	2181	378
852	2185	376
853	2188	374
854	2190	371
855	2193	368
856	2195	366
857	2198	363
858	2201	361
859	2204	358
860	2207	356
861	2210	353
862	2213	351
863	2216	348
864	2218	346
865	2222	343
866	2224	341
867	2227	338
868	2230	336
869	2234	333
870	2237	331
871	2240	328
872	2243	326
873	2246	323
874	2248	321
875	2251	318
876	2254	316
877	2257	313
878	2260	311
879	2263	308
880	2266	306
881	2269	303
882	2272	301
883	2275	298
884	2279	296
885	2283	293
886	2286	291
887	2290	288
888	2293	286
889	2297	283
890	2301	281
891	2305	279
892	2310	276
893	2314	274
894	2317	271
895	2321	269
896	2327	267
897	2331	264
898	2335	262
899	2339	259
900	2342	257
901	2346	254
902	2349	252
903	2353	249
904	2356	247
905	2359	244
906	2361	242
907	2364	239
908	2367	237
909	2370	234
910	2373	231
911	2376	229
912	2379	226
913	2381	224
914	2384	221
915	2387	218
916	2390	216
917	2393	213
918	2395	211
919	2398	208
920	2401	205
921	2404	203
922	2406	200
923	2408	198
924	2411	195
925	2414	192
926	2417	190
927	2420	187
928	2422	185
929	2425	182
930	2427	179
931	2429	177
932	2432	174
933	2434	172
934	2437	169
935	2439	166
936	2441	164
937	2444	161
938	2447	159
939	2450	156
940	2452	153
941	2455	151
942	2457	148
943	2460	145
944	2463	143
945	2465	140
946	2468	138
947	2470	135
948	2473	132
949	2475	130
950	2477	127
951	2480	125
952	2483	122
953	2485	119
954	2488	117
955	2490	114
956	2493	112
957	2495	109
958	2498	106
959	2501	104
960	2503	101
961	2506	98
962	2508	96
963	2511	93
964	2513	91
965	2516	88
966	2518	85
967	2521	83
968	2523	80
969	2526	78
970	2528	75
971	2531	72
972	2534	70
973	2536	67
974	2540	65
975	2542	62
976	2548	59
977	2550	57
978	2553	54
979	2555	52
980	2558	49
981	2561	46
982	2564	44
983	2567	41
984	2569	39
985	2572	36
986	2575	33
987	2578	31
988	2581	28
989	2584	26
990	2587	23
991	2591	20
992	2594	18
993	2597	15
994	2600	13
995	2604	10
996	2606	7
997	2610	5
998	2613	2
999	2617	0
